id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,assigned_zone
89666827,123168e9-b3dc-4f3e-b456-693f50616c05,Mon Aug 02 2021 13:42:51 GMT-0400 (EDT),2021-08-02,2021-08-02 17:42:51 UTC,Eastern Time (US & Canada),2365055,kleonffu,,2021-08-02 17:42:59 UTC,2024-03-20 16:25:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/89666827,https://inaturalist-open-data.s3.amazonaws.com/photos/148098262/medium.jpg,,,,2,0,False,3,"Eastern St, New Haven, CT, US",41.3144549994,-72.873803372,8.0,,,,8.0,,open,False,,,spotted horse mint,Monarda punctata,spotted horsemint,Plantae,118776.0,C
90275831,b598f754-aa5a-44f9-b1c4-314ff62e2570,Fri Aug 06 2021 18:31:01 GMT -0400 (EDT),2021-08-06,2021-08-06 22:31:01 UTC,Eastern Time (US & Canada),2365055,kleonffu,,2021-08-07 16:21:37 UTC,2021-08-19 02:17:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/90275831,https://inaturalist-open-data.s3.amazonaws.com/photos/150506828/medium.jpeg,,,,1,0,False,333,New Haven,41.3143997192,-72.8737564087,4.0,,,,4.0,,,False,,,Small Milkweed Bug,Lygaeus kalmii,Small Milkweed Bug,Insecta,62045.0,Garden Boundary
115734820,bb821201-8d2d-4153-9b85-e84fc9f77160,2022-03-31 17:08:05,2022-03-31,2022-03-31 21:08:05 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:23:34 UTC,2026-04-15 01:27:54 UTC,needs_id,,https://www.inaturalist.org/observations/115734820,https://static.inaturalist.org/photos/195334462/medium.jpeg,,,Bee baln ??  ,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31439612,-72.87381227,9.0,,,,9.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,A
115734858,354eb51f-6eaf-4245-8353-85c602a8e9d0,2022-03-31 17:10:39,2022-03-31,2022-03-31 21:10:39 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:23:56 UTC,2022-05-06 14:24:13 UTC,needs_id,,https://www.inaturalist.org/observations/115734858,https://static.inaturalist.org/photos/195334541/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.3145057,-72.87376414,7.0,,,,7.0,,,False,,,garden parsley,Petroselinum crispum,garden parsley,Plantae,78465.0,F
115734888,bf418433-695f-49b3-b01b-331b8922732c,2022-03-31 17:11:22,2022-03-31,2022-03-31 21:11:22 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:24:15 UTC,2026-04-15 01:27:42 UTC,needs_id,,https://www.inaturalist.org/observations/115734888,https://static.inaturalist.org/photos/195334620/medium.jpeg,,,Some groundcover,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31448279,-72.87378748,9.0,,,,9.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,C
115734927,e6bebff6-d4aa-4a3f-be43-4ad2690605a4,2022-03-31 17:12:41,2022-03-31,2022-03-31 21:12:41 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:24:32 UTC,2022-12-13 12:31:21 UTC,research,,https://www.inaturalist.org/observations/115734927,https://static.inaturalist.org/photos/195334686/medium.jpeg,,,,2,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31447275,-72.87383437,7.0,,,,7.0,,,False,,,white clover,Trifolium repens,white clover,Plantae,55745.0,C
115734963,ecf1ef66-5fc3-43a1-879e-78869dd110c2,2022-03-31 17:13:32,2022-03-31,2022-03-31 21:13:32 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:24:48 UTC,2026-04-15 01:27:24 UTC,needs_id,,https://www.inaturalist.org/observations/115734963,https://static.inaturalist.org/photos/195334782/medium.jpeg,,,,0,0,False,2,"New Haven County, US-CT, US",41.31442116,-72.8738544,8.0,,,,8.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,Garden Boundary
115735016,a6a09298-9fce-45cf-bf3a-612fed725d16,2022-03-31 17:14:34,2022-03-31,2022-03-31 21:14:34 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:25:12 UTC,2022-10-19 22:03:38 UTC,needs_id,,https://www.inaturalist.org/observations/115735016,https://static.inaturalist.org/photos/195334894/medium.jpeg,,,,2,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31435373,-72.87375887,8.0,,,,8.0,,,False,,,"evening primroses, sundrops, and beeblossoms",Oenothera,"evening primroses, sundrops, and beeblossoms",Plantae,48626.0,Garden Boundary
115735057,1dc80f8e-8ff9-4be7-aef7-71b4e62530f3,2022-03-31 17:15:52,2022-03-31,2022-03-31 21:15:52 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:25:39 UTC,2026-04-15 01:27:12 UTC,needs_id,,https://www.inaturalist.org/observations/115735057,https://static.inaturalist.org/photos/195334945/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31436653,-72.87375796,8.0,,,,8.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,Garden Boundary
115735093,61957044-f9da-49ef-93e9-7952978dfebf,2022-03-31 17:16:27,2022-03-31,2022-03-31 21:16:27 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-06 14:25:55 UTC,2026-04-15 01:27:00 UTC,needs_id,,https://www.inaturalist.org/observations/115735093,https://static.inaturalist.org/photos/195335012/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31437927,-72.87377143,9.0,,,,9.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,A
117920955,b5691ff5-c906-461d-88cc-95e675d72a83,2022-05-20 17:18:14,2022-05-20,2022-05-20 21:18:14 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:40:13 UTC,2025-10-02 21:33:52 UTC,needs_id,,https://www.inaturalist.org/observations/117920955,https://static.inaturalist.org/photos/199187502/medium.jpeg,,,,1,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31445409,-72.87379582,7.0,,,,7.0,,,False,,,White Wood Aster,Eurybia divaricata,White Wood Aster,Plantae,127685.0,C
117921037,1ee9ecce-6c25-4371-97ed-fa6eb7c31a71,2022-05-20 17:40:33,2022-05-20,2022-05-20 21:40:33 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:41:05 UTC,2026-04-11 05:29:57 UTC,needs_id,,https://www.inaturalist.org/observations/117921037,https://static.inaturalist.org/photos/199187671/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31444257,-72.87385867,7.0,,,,7.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,D
117921077,7d21eb47-f575-4302-a926-542330e8814c,2022-05-20 17:41:10,2022-05-20,2022-05-20 21:41:10 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:41:25 UTC,2025-12-30 13:23:04 UTC,needs_id,,https://www.inaturalist.org/observations/117921077,https://static.inaturalist.org/photos/199187746/medium.jpeg,,,,2,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31443974,-72.87383318,8.0,,,,8.0,,,False,,,meadowsweets,Spiraea,meadowsweets,Plantae,48681.0,Garden Boundary
117921207,c5e477a2-cb33-4572-b1c6-8c4603e6cad5,2022-05-20 17:41:39,2022-05-20,2022-05-20 21:41:39 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:42:42 UTC,2026-04-11 05:29:39 UTC,needs_id,,https://www.inaturalist.org/observations/117921207,https://static.inaturalist.org/photos/199188099/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31443067,-72.87385467,7.0,,,,7.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,D
117921281,9bb4ac51-627a-456f-9432-e7792838eae7,2022-05-20 17:42:47,2022-05-20,2022-05-20 21:42:47 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:43:41 UTC,2023-03-08 21:31:46 UTC,research,,https://www.inaturalist.org/observations/117921281,https://static.inaturalist.org/photos/199188119/medium.jpeg,,,,2,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31439286,-72.87389991,8.0,,,,8.0,,,False,,,ribwort plantain,Plantago lanceolata,ribwort plantain,Plantae,53178.0,Garden Boundary
117921298,38a35c54-92fb-41ea-9aa3-7dd5a6bd272c,2022-05-20 17:43:18,2022-05-20,2022-05-20 21:43:18 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:43:52 UTC,2022-05-21 13:16:15 UTC,needs_id,,https://www.inaturalist.org/observations/117921298,https://static.inaturalist.org/photos/199188171/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31438036,-72.87386957,7.0,,,,7.0,,,False,,,,Cornus,dogwoods,Plantae,47193.0,Garden Boundary
117921334,d00a526a-d8a7-4c06-a209-d4c5ffc99077,2022-05-20 17:43:50,2022-05-20,2022-05-20 21:43:50 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:44:08 UTC,2026-03-09 23:10:15 UTC,research,,https://www.inaturalist.org/observations/117921334,https://static.inaturalist.org/photos/199188205/medium.jpeg,,,,2,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31439537,-72.8738902,4.0,,,,4.0,,open,False,,,pineapple-weed,Matricaria discoidea,pineapple-weed,Plantae,52992.0,B
117921524,c04ddb3a-18b4-4d1d-b881-8bf1c6faff7c,2022-05-20 17:44:49,2022-05-20,2022-05-20 21:44:49 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:46:13 UTC,2022-05-23 16:43:32 UTC,research,,https://www.inaturalist.org/observations/117921524,https://static.inaturalist.org/photos/199188631/medium.jpeg,,,Going to flower soo - getting it OUT,1,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31434967,-72.87381855,5.0,,,,5.0,,,False,,,common mugwort,Artemisia vulgaris,common mugwort,Plantae,52856.0,Garden Boundary
117922109,cdfda7b8-d0b5-4653-8b55-9a17b287036c,2022-05-20 17:51:38,2022-05-20,2022-05-20 21:51:38 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 21:52:03 UTC,2022-05-21 13:15:28 UTC,needs_id,,https://www.inaturalist.org/observations/117922109,https://static.inaturalist.org/photos/199189819/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31444864,-72.87376516,8.0,,,,8.0,,,False,,,,Rumex crispus,curly dock,Plantae,53197.0,Garden Boundary
117923876,4d0f681a-21dc-4869-9bfb-d2c8cfa30f82,2022-05-20 18:06:41,2022-05-20,2022-05-20 22:06:41 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 22:07:11 UTC,2026-04-11 05:27:39 UTC,needs_id,,https://www.inaturalist.org/observations/117923876,https://static.inaturalist.org/photos/199192646/medium.jpeg,,,,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31429972,-72.87380392,7.0,,,,7.0,,,False,,,,Magnoliopsida,Dicots,Plantae,47124.0,Garden Boundary
117934968,d796b957-47ad-40cb-9cf2-b0843042676e,2022-05-20 19:14:19,2022-05-20,2022-05-20 23:14:19 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-20 23:48:16 UTC,2022-05-22 18:41:51 UTC,research,,https://www.inaturalist.org/observations/117934968,https://static.inaturalist.org/photos/199212649/medium.jpeg,,,,2,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.31429363,-72.87390805,9.0,,,,9.0,,open,False,,,American beech,Fagus grandifolia,American beech,Plantae,49202.0,Garden Boundary
117937703,ebe8fb7f-c277-48d5-b71d-640c41f40d4b,2022-05-20 19:20:20,2022-05-20,2022-05-20 23:20:20 UTC,Eastern Time (US & Canada),5637772,kat361,Kat Calhoun,2022-05-21 00:17:52 UTC,2026-04-11 05:01:21 UTC,needs_id,,https://www.inaturalist.org/observations/117937703,https://static.inaturalist.org/photos/199217412/medium.jpeg,,,Lots in garden path ... new England aster from windblown seed?,0,0,False,2,"Fair Haven Heights, New Haven, CT, USA",41.3143142777,-72.8738372773,232.0,,,,232.0,,,False,gps,gps,,Magnoliopsida,Dicots,Plantae,47124.0,Garden Boundary
